year,round,ConstructorId,points,status
2015,3,sauber,1,+1 Lap
2015,3,force_india,0,+1 Lap
2015,3,mclaren,0,+1 Lap
2015,3,toro_rosso,0,+1 Lap
2015,3,mclaren,0,+1 Lap
2015,3,manor,0,+2 Laps
2015,3,manor,0,+2 Laps
2015,3,toro_rosso,0,Transmission
2015,3,lotus_f1,0,Brakes
2015,3,red_bull,0,Power Unit
2015,3,force_india,0,Gearbox
2016,3,mercedes,25,Finished
2016,3,ferrari,18,Finished
2016,3,red_bull,15,Finished
2016,3,red_bull,12,Finished
2016,3,ferrari,10,Finished
2016,3,williams,8,Finished
2016,3,mercedes,6,Finished
2016,3,toro_rosso,4,Finished
2016,3,toro_rosso,2,Finished
2016,3,williams,1,Finished
2016,3,force_india,0,Finished
2016,3,mclaren,0,Finished
2016,3,mclaren,0,Finished
2016,3,haas,0,+1 Lap
2016,3,force_india,0,+1 Lap
2016,3,sauber,0,+1 Lap
2016,3,renault,0,+1 Lap
2016,3,manor,0,+1 Lap
2016,3,haas,0,+1 Lap
2016,3,sauber,0,+1 Lap
2016,3,manor,0,+1 Lap
2016,3,renault,0,+1 Lap
2017,3,ferrari,25,Finished
2017,3,mercedes,18,Finished
2017,3,mercedes,15,Finished
2017,3,ferrari,12,Finished
2017,3,red_bull,10,Finished
2017,3,williams,8,Finished
2017,3,force_india,6,Finished
2017,3,haas,4,Finished
2017,3,renault,2,Finished
2017,3,force_india,1,Finished
2017,3,sauber,0,+1 Lap
2017,3,toro_rosso,0,+1 Lap
2017,3,renault,0,+1 Lap
2017,3,mclaren,0,Power Unit
2017,3,sauber,0,Gearbox
2017,3,toro_rosso,0,Collision
2017,3,williams,0,Collision
2017,3,red_bull,0,Brakes
2017,3,haas,0,Electrical
2017,3,mclaren,0,Power Unit
2018,3,red_bull,25,Finished
2018,3,mercedes,18,Finished
2018,3,ferrari,15,Finished
2018,3,mercedes,12,Finished
2018,3,red_bull,10,Finished
2018,3,renault,8,Finished
2018,3,mclaren,6,Finished
2018,3,ferrari,4,Finished
2018,3,renault,2,Finished
2018,3,haas,1,Finished
2018,3,force_india,0,Finished
2018,3,force_india,0,Finished
2018,3,mclaren,0,Finished
2018,3,williams,0,Finished
2018,3,williams,0,Finished
2018,3,sauber,0,Finished
2018,3,haas,0,Finished
2018,3,toro_rosso,0,Finished
2018,3,sauber,0,Finished
2018,3,toro_rosso,0,Collision damage
2019,3,mercedes,25,Finished
2019,3,mercedes,18,Finished
2019,3,ferrari,15,Finished
2019,3,red_bull,12,Finished
2019,3,ferrari,10,Finished
2019,3,red_bull,9,Finished
2019,3,renault,6,+1 Lap
2019,3,racing_point,4,+1 Lap
2019,3,alfa,2,+1 Lap
2019,3,toro_rosso,1,+1 Lap
2019,3,haas,0,+1 Lap
2019,3,racing_point,0,+1 Lap
2019,3,haas,0,+1 Lap
2019,3,mclaren,0,+1 Lap
2019,3,alfa,0,+1 Lap
2019,3,williams,0,+2 Laps
2019,3,williams,0,+2 Laps
2019,3,mclaren,0,Collision
2019,3,toro_rosso,0,Collision
2019,3,renault,0,Power Unit
2020,3,mercedes,26,Finished
